main_category,users_viewed,users_carted,users_purchased,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
electronics,415569,27655,17750,0.0665,0.6418,0.0427
unknown_category,360601,4590,7760,0.0127,1.6906,0.0215
appliances,135035,3932,3443,0.0291,0.8756,0.0255
computers,58412,1203,1256,0.0206,1.0441,0.0215
apparel,48227,0,369,0.0,0.0,0.0077
furniture,38687,97,354,0.0025,3.6495,0.0092
auto,31704,444,470,0.014,1.0586,0.0148
construction,20965,446,353,0.0213,0.7915,0.0168
kids,16519,119,217,0.0072,1.8235,0.0131
accessories,7743,22,69,0.0028,3.1364,0.0089
sport,6185,50,56,0.0081,1.12,0.0091
country_yard,525,4,2,0.0076,0.5,0.0038
medicine,516,21,19,0.0407,0.9048,0.0368
stationery,271,3,10,0.0111,3.3333,0.0369
